cod_municipio,municipio,uf,data_competencia,ano,mes,internacoes
350570,BARUERI,SP,2025-08-01,2025,8,3452
350570,BARUERI,SP,2025-09-01,2025,9,3429
350570,BARUERI,SP,2025-10-01,2025,10,3659
350570,BARUERI,SP,2025-11-01,2025,11,3215
350570,BARUERI,SP,2025-12-01,2025,12,3008
350580,BASTOS,SP,2025-01-01,2025,1,115
350580,BASTOS,SP,2025-02-01,2025,2,99
350580,BASTOS,SP,2025-03-01,2025,3,121
350580,BASTOS,SP,2025-04-01,2025,4,128
350580,BASTOS,SP,2025-05-01,2025,5,136
350580,BASTOS,SP,2025-06-01,2025,6,116
350580,BASTOS,SP,2025-07-01,2025,7,122
350580,BASTOS,SP,2025-08-01,2025,8,96
350580,BASTOS,SP,2025-09-01,2025,9,80
350580,BASTOS,SP,2025-10-01,2025,10,83
350580,BASTOS,SP,2025-11-01,2025,11,91
350580,BASTOS,SP,2025-12-01,2025,12,98
350590,BATATAIS,SP,2025-01-01,2025,1,329
350590,BATATAIS,SP,2025-02-01,2025,2,340
350590,BATATAIS,SP,2025-03-01,2025,3,397
350590,BATATAIS,SP,2025-04-01,2025,4,374
350590,BATATAIS,SP,2025-05-01,2025,5,431
350590,BATATAIS,SP,2025-06-01,2025,6,368
350590,BATATAIS,SP,2025-07-01,2025,7,331
350590,BATATAIS,SP,2025-08-01,2025,8,363
350590,BATATAIS,SP,2025-09-01,2025,9,308
350590,BATATAIS,SP,2025-10-01,2025,10,310
350590,BATATAIS,SP,2025-11-01,2025,11,275
350590,BATATAIS,SP,2025-12-01,2025,12,301
350600,BAURU,SP,2025-01-01,2025,1,3209
350600,BAURU,SP,2025-02-01,2025,2,3251
350600,BAURU,SP,2025-03-01,2025,3,3394
350600,BAURU,SP,2025-04-01,2025,4,3505
350600,BAURU,SP,2025-05-01,2025,5,3584
350600,BAURU,SP,2025-06-01,2025,6,3162
350600,BAURU,SP,2025-07-01,2025,7,3439
350600,BAURU,SP,2025-08-01,2025,8,3547
350600,BAURU,SP,2025-09-01,2025,9,3480
350600,BAURU,SP,2025-10-01,2025,10,3807
350600,BAURU,SP,2025-11-01,2025,11,3637
350600,BAURU,SP,2025-12-01,2025,12,3731
350610,BEBEDOURO,SP,2025-01-01,2025,1,703
350610,BEBEDOURO,SP,2025-02-01,2025,2,707
350610,BEBEDOURO,SP,2025-03-01,2025,3,777
350610,BEBEDOURO,SP,2025-04-01,2025,4,805
350610,BEBEDOURO,SP,2025-05-01,2025,5,862
350610,BEBEDOURO,SP,2025-06-01,2025,6,689
350610,BEBEDOURO,SP,2025-07-01,2025,7,786
350610,BEBEDOURO,SP,2025-08-01,2025,8,767
350610,BEBEDOURO,SP,2025-09-01,2025,9,720
350610,BEBEDOURO,SP,2025-10-01,2025,10,786
350610,BEBEDOURO,SP,2025-11-01,2025,11,704
350610,BEBEDOURO,SP,2025-12-01,2025,12,638
350630,BERNARDINO DE CAMPOS,SP,2025-01-01,2025,1,61
350630,BERNARDINO DE CAMPOS,SP,2025-02-01,2025,2,66
350630,BERNARDINO DE CAMPOS,SP,2025-03-01,2025,3,88
350630,BERNARDINO DE CAMPOS,SP,2025-04-01,2025,4,57
350630,BERNARDINO DE CAMPOS,SP,2025-05-01,2025,5,66
350630,BERNARDINO DE CAMPOS,SP,2025-06-01,2025,6,63
350630,BERNARDINO DE CAMPOS,SP,2025-07-01,2025,7,62
350630,BERNARDINO DE CAMPOS,SP,2025-08-01,2025,8,78
350630,BERNARDINO DE CAMPOS,SP,2025-09-01,2025,9,65
350630,BERNARDINO DE CAMPOS,SP,2025-10-01,2025,10,72
350630,BERNARDINO DE CAMPOS,SP,2025-11-01,2025,11,59
350630,BERNARDINO DE CAMPOS,SP,2025-12-01,2025,12,59
350635,BERTIOGA,SP,2025-01-01,2025,1,278
350635,BERTIOGA,SP,2025-02-01,2025,2,255
350635,BERTIOGA,SP,2025-03-01,2025,3,277
350635,BERTIOGA,SP,2025-04-01,2025,4,272
350635,BERTIOGA,SP,2025-05-01,2025,5,301
350635,BERTIOGA,SP,2025-06-01,2025,6,274
350635,BERTIOGA,SP,2025-07-01,2025,7,284
350635,BERTIOGA,SP,2025-08-01,2025,8,269
350635,BERTIOGA,SP,2025-09-01,2025,9,287
